          14    0.3849373    2.4414821 
          32    0.1702985    1.1090037 
         260    0.1752296    1.2291387 
         270    0.4114469    2.9695379 
         287    0.3442935    2.1600441 
         387    0.4269677    3.3171859 
         420    0.4269677    3.3171859 
         474    0.3048538    1.6359028 
         576    0.2525602    1.4283184 
         671    0.2657437    1.4633673 
         767    0.4328664    3.6248369 
         792    0.2790774    1.5147962 
         799    0.3285080    1.7530753 
         823    0.2657437    1.4633673 
         849    0.1381987    1.1046605 
         884    0.4290905    3.4193820 
         938    0.2289771    1.3095839 
        1100    0.1702985    1.1090037 
        1123    0.2957794    1.5738270 
        1151    0.1244005    1.0484328 
        1164    0.1799901    1.2545833 
        1187    0.1219184    0.8820264 
        1200    0.2957794    1.5738270 
        1260    0.1799901    1.2545833 
        1264    0.1799901    1.2545833 
        1324    0.2438202    1.3618016 
        1458    0.1702985    1.1090037 
        1635    0.3827130    2.1977061 
        1636    0.1219184    0.8286924 
        1728    0.1870751    1.2766371 
        1783    0.3419404    2.1154431 
        1804    0.1752296    1.2291387 
        1846    0.1910734    1.2828378 
        1999    0.1799901    1.2545833 
          15    0.3827130    2.1977061 
          48    0.3286600    1.7559066 
          83    0.4115846    2.8745330 
         224    0.2935412    1.6231765 
         233    0.3827130    2.1977061 
         308    0.4484311    3.1528338 
         520    0.3335539    1.9621678 
         546    0.3605553    2.0606155 
         686    0.4135947    2.9718239 
         719    0.3288677    1.9071043 
         855    0.3966116    2.4904880 
         865    0.3605553    2.0606155 
         929    0.3438199    2.0112229 
         971    0.4510673    3.9431162 
        1053    0.2926049    1.5720275 
        1093    0.3845537    2.2548103 
        1107    0.3921335    2.4692652 
        1192    0.4022504    2.5690033 
        1391    0.4032199    2.6811745 
        1493    0.2990035    1.6241914 
        1507    0.4236847    3.0494219 
        1512    0.3858194    2.3070689 
        1556    0.3378878    1.9957100 
        1567    0.3867690    2.4136863 
        1635    0.3827130    2.1977061 
        1636    0.1219184    0.8286924 
        1666    0.3788891    2.1800635 
        1674    0.2797825    1.3812661 
        1688    0.4507328    3.5181412 
        1730    0.3937354    2.4724415 
        1798    0.3646034    2.1787129 
        1836    0.3079348    1.6711255 
        1863    0.3632383    2.0778589 
        1905    0.4032267    2.6819479 
        1980    0.3632383    2.0778589 
          96    0.3788718    2.1490913 
         188    0.4441821    3.0944352 
         189    0.4156417    2.6063346 
         297    0.4514274    3.5761888 
         308    0.4484311    3.1528338 
         327    0.4139408    2.5120706 
         338    0.4496950    3.2834008 
         434    0.3754302    2.0438310 
         468    0.4534265    3.8784175 
         480    0.4275731    2.7764803 
         509    0.4235557    2.7343024 
         515    0.4424247    3.0036736 
         551    0.4061477    2.1790238 
         594    0.4496950    3.2834008 
         664    0.4235557    2.7343024 
         707    0.4338235    2.8142111 
         815    0.4207977    2.6309692 
         913    0.4210685    2.6369088 
         939    0.4553484    4.4302731 
        1010    0.4208333    2.6354735 
        1063    0.4552561    4.3659875 
        1088    0.4490153    3.1656969 
        1150    0.4552561    4.3659875 
        1214    0.3792842    2.1644183 
        1243    0.4490153    3.1656969 
        1283    0.4476263    3.0979619 
        1306    0.4394175    2.8656459 
        1470    0.4083394    2.4994492 
        1480    0.4535413    3.9660670 
        1530    0.4423899    2.9901922 
        1600    0.4424247    3.0036736 
        1636    0.1219184    0.8286924 
        1637    0.4083394    2.4994492 
        1733    0.4476263    3.0979619 
        1747    0.4511945    3.3482422 
        1986    0.4530446    3.8766037 
          90    0.4442557    2.8437768 
         271    0.4151274    2.4000579 
         440    0.4093837    2.3021003 
         501    0.4572648    2.8959593 
         702    0.4438486    2.8003816 
         941    0.4346468    2.6250052 
        1034    0.4371060    2.7486658 
        1146    0.4208206    2.5730095 
        1227    0.4371060    2.7486658 
        1429    0.4382138    2.7723679 
        1546    0.4647366    3.1414110 
        1636    0.1219184    0.8286924 
        1671    0.4325608    2.6119484 
        1699    0.4371060    2.7486658 
        1734    0.4085950    2.2994175 
        1788    0.4647366    3.1414110 
        1877    0.4182812    2.5169320 
        1907    0.4588038    2.8997342 
        1938    0.4590985    3.0493831 
        1940    0.4452542    2.8450651 
         217    0.4281835    2.4192593 
         384    0.4656265    3.0000144 
         474    0.4554514    2.7713904 
         528    0.4510723    2.5650870 
         535    0.4314790    2.4511518 
         693    0.4545708    2.6623586 
         793    0.4655234    2.9816619 
         846    0.4658960    3.1529553 
        1515    0.4547124    2.7025461 
        1524    0.4339887    2.5011721 
        1622    0.4331700    2.4645552 
        1809    0.4558346    2.7777760 
        1916    0.4162395    2.3990215 
        1960    0.4604441    2.7871207 
        1989    0.4533668    2.6268829 
          43    0.4393753    2.3720755 
          92    0.4463179    2.4314523 
         207    0.4671789    2.4711442 
         406    0.4677256    2.6464984 
         586    0.4220011    2.1457582 
         646    0.4279009    2.2767995 
         780    0.4251758    2.2712018 
        1024    0.4673489    2.5199160 
        1064    0.4474306    2.4638562 
        1151    0.4734711    2.6834520 
        1171    0.4677256    2.6464984 
        1889    0.4353455    2.3195790 
        1911    0.4370602    2.3525991 
        1963    0.4446691    2.3852737 
          19    0.4358879    2.1677079 
         427    0.4658522    2.3497134 
         586    0.4220011    2.1457582 
         683    0.4204972    2.1258740 
         934    0.4638410    2.2611865 
        1091    0.4224062    2.1552960 
        1122    0.4713448    2.3743839 
        1186    0.4776235    2.5025038 
        1283    0.4742708    2.4414464 
        1501    0.4399587    2.1764011 
        1532    0.4216803    2.1272442 
        1619    0.4204972    2.1258740 
        1655    0.4777081    2.6041456 
        1756    0.4204111    2.0786592 
        1959    0.4787673    2.6983491 
         134    0.4806510    2.6228118 
         313    0.4208330    2.0201245 
         504    0.4459112    2.0400857 
         685    0.4337514    2.0398773 
         772    0.4660869    2.3166769 
         807    0.4762585    2.3484097 
         822    0.4798780    2.4334177 
         902    0.4493419    2.0884004 
         913    0.4525834    2.1173429 
        1116    0.4163658    1.9840779 
        1117    0.4610910    2.1196927 
        1129    0.4653918    2.3077820 
        1415    0.4650804    2.2929837 
        1468    0.4508714    2.1123281 
        1615    0.4640407    2.2102121 
        1691    0.4639217    2.1444790 
        1697    0.4459112    2.0400857 
