1000	0	0
980	0	0
970	10	0
950	20	0
920	30	0
890	40	0
860	50	0
820	60	0
780	70	0
740	80	0
690	80	0
640	90	0
600	100	0
550	100	0
500	100	0
450	110	0
400	110	0
350	100	0
310	100	0
260	100	0
220	90	0
180	90	0
140	80	0
110	70	0
80	60	0
50	50	0
30	40	0
20	30	0
10	10	0
0	10	0
0	10	0
0	10	0
0	0	0
0	0	0
0	0	0
0	-10	0
10	-20	0
20	-40	0
30	-50	0
50	-60	0
70	-80	0
90	-90	0
120	-100	0
150	-100	0
190	-110	0
220	-110	0
260	-110	0
310	-110	0
350	-100	0
400	-100	0
450	-90	0
500	-80	0
550	-70	0
600	-60	0
650	-50	0
710	-30	0
760	-20	0
810	-10	0
850	0	0
900	0	0
930	0	0
960	0	0
980	0	0
1000	0	0


