1,0,0
1,0,0
0.98,0,0
0.97,0.01,0
0.95,0.02,0
0.92,0.03,0
0.89,0.04,0
0.86,0.05,0
0.82,0.06,0
0.78,0.07,0
0.74,0.08,0
0.69,0.08,0
0.64,0.09,0
0.6,0.1,0
0.55,0.1,0
0.5,0.1,0
0.45,0.11,0
0.4,0.11,0
0.35,0.1,0
0.31,0.1,0
0.26,0.1,0
0.22,0.09,0
0.18,0.09,0
0.14,0.08,0
0.11,0.07,0
0.08,0.06,0
0.05,0.05,0
0.03,0.04,0
0.02,0.03,0
0.01,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0,0
0,0,0
0,0,0
0,-0.01,0
0.01,-0.02,0
0.02,-0.04,0
0.03,-0.05,0
0.05,-0.06,0
0.07,-0.08,0
0.09,-0.09,0
0.12,-0.1,0
0.15,-0.1,0
0.19,-0.11,0
0.22,-0.11,0
0.26,-0.11,0
0.31,-0.11,0
0.35,-0.1,0
0.4,-0.1,0
0.45,-0.09,0
0.5,-0.08,0
0.55,-0.07,0
0.6,-0.06,0
0.65,-0.05,0
0.71,-0.03,0
0.76,-0.02,0
0.81,-0.01,0
0.85,0,0
0.9,0,0
0.93,0,0
0.96,0,0
0.98,0,0
1,0,0
1,0,0
